bus_10001,bus_10022,bus_10025,bus_10033,bus_10035,bus_10093,bus_10228,bus_10525,bus_10558,bus_10570,bus_10600,bus_10677,bus_10750,bus_11016,bus_13000,bus_13366,bus_13420,bus_13446,bus_13504,bus_20000,bus_20007,bus_20026,bus_20136,bus_21121,bus_21647,bus_23017,bus_23054,bus_23060,bus_23263,bus_23377,bus_25160,bus_25289,bus_25375,bus_25403,bus_25439,bus_25598,bus_25618,bus_25675,bus_25714,bus_25830,bus_26100,bus_26133,bus_28078,bus_28099,bus_28122,bus_28365,bus_28549,bus_28667,bus_30001,bus_30144,bus_30146,bus_30205,bus_30207,bus_30220,bus_30221,bus_30374,bus_40001,bus_40003,bus_40004,bus_40006,bus_40007,bus_40008,bus_40050,bus_40160,bus_40162,bus_40279,bus_40281,bus_40367,bus_40369,bus_40595,bus_40602,bus_40691,bus_40787,bus_40844,bus_40961,bus_40994,bus_50000,bus_50007,bus_50024,bus_50196,bus_50316,bus_53000,bus_53002,bus_53012,bus_60000,bus_60003,bus_60194,bus_60577,bus_70000,bus_70016,bus_70063,bus_70155,bus_74001,bus_74053,bus_74104,bus_74132,bus_74235,bus_77001,bus_77173,bus_80007
0.0,0.0,0.0,162.0,0.0,2168.4811,1169.7038000000002,0.0,0.0,7.1067,0.0,142.4809,2661.8813,7008.2082,56.665299999999995,356.02279999999996,0.0,1995.4893,5624.6099,0.0,46.403400000000005,722.3304999999999,2227.55,0.0,0.0,0.0,288.4593,1403.5384999999999,0.0,0.0,0.0,14.2966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.6896,0.0,0.0,0.0,0.0,1430.1001999999999,0.0,0.0,0.0,0.0,0.0,108.1273,0.0,203.0713,0.0,0.0,0.0,0.0,0.0,10.5159,0.0,0.0,0.0,0.0,1014.2702,0.0,0.0,0.0,0.0,38.1607,0.0,204.7267,113.76169999999999,0.0,0.0,0.0,27.235500000000002,249.73539999999997,29.6903,0.0,130.4724,0.0,137.52040000000002,0.0,169.4106,86.94669999999999,71.9581,173.55580000000003,1561.9472,259.0963,0.0,17.6049
0.0,0.0,0.0,158.3442,0.0,2139.8604,1174.8471000000004,0.0,0.0,6.8727,0.0,142.4872,2697.4222,6790.488,62.58500000000001,348.4447,0.0,1996.1279999999997,5816.5763,0.0,48.7937,719.2491000000001,2217.7976,0.0,0.0,0.0,287.7536,1408.5240000000003,0.0,0.0,0.0,14.5407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.736799999999995,0.0,0.0,0.0,0.0,1433.3829,0.0,0.0,0.0,0.0,0.0,108.3431,0.0,205.2484,0.0,0.0,0.0,0.0,0.0,10.4134,0.0,0.0,0.0,0.0,1016.7191,0.0,0.0,0.0,0.0,37.5507,0.0,204.5664,113.7777,0.0,0.0,0.0,27.2976,245.861,29.9312,0.0,130.7039,0.0,137.96480000000003,0.0,171.83659999999998,90.2835,72.1002,174.8579,1554.4739,251.1684,0.0,17.6658
0.0,0.0,0.0,160.1559,0.0,2169.2291999999993,1218.8313000000003,0.0,0.0,6.8665,0.0,155.70850000000002,2926.8201000000004,6800.4408,88.06269999999999,368.92640000000006,0.0,2013.8221999999998,5951.7119,0.0,68.0934,740.6003,2544.4797000000003,0.0,0.0,0.0,313.7719,1449.0135,0.0,0.0,0.0,14.8573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.2603,0.0,0.0,0.0,0.0,1437.4863,0.0,0.0,0.0,0.0,0.0,108.2125,0.0,208.38299999999998,0.0,0.0,0.0,0.0,0.0,10.3295,0.0,0.0,0.0,0.0,1017.7118,0.0,0.0,0.0,0.0,39.4036,0.0,205.49939999999998,113.9986,0.0,0.0,0.0,27.3579,247.4414,30.216800000000003,0.0,131.04680000000002,0.0,140.0897,0.0,173.88670000000002,89.5635,74.2116,176.5025,1548.1601000000003,247.2062,0.0,17.8699
0.0,0.0,0.0,160.5182,0.0,2293.3815999999997,1212.7933000000003,0.0,0.0,7.4203,0.0,175.88250000000002,2968.3799,7016.924999999999,91.03139999999999,414.8605,0.0,2045.2478999999998,6134.0913,0.0,68.3894,771.4128000000001,2699.8433,0.0,0.0,0.0,308.08939999999996,1476.7421000000002,0.0,0.0,0.0,15.4212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.5221,0.0,0.0,0.0,0.0,1442.3939999999998,0.0,0.0,0.0,0.0,0.0,108.1743,0.0,210.9789,0.0,0.0,0.0,0.0,0.0,10.2693,0.0,0.0,0.0,0.0,1017.1715,0.0,0.0,0.0,0.0,39.9846,0.0,206.39430000000004,114.30290000000001,0.0,0.0,0.0,27.4147,245.95189999999997,30.224599999999995,0.0,131.5221,0.0,138.8313,0.0,176.25899999999996,88.08070000000001,75.595,182.11069999999998,1540.8663000000001,245.24190000000002,0.0,18.0855
0.0,0.0,0.0,160.5182,0.0,2321.3794999999996,1209.0466,0.0,0.0,7.4878,0.0,186.7088,2958.7853,6987.7555999999995,71.3426,443.9611,0.0,2073.8336,6181.6612000000005,0.0,55.4543,779.5328000000001,2879.3375999999994,0.0,0.0,0.0,319.8653,1509.466,0.0,0.0,0.0,15.9648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.1529,0.0,0.0,0.0,0.0,1448.0596,0.0,0.0,0.0,0.0,0.0,108.1653,0.0,211.3028,0.0,0.0,0.0,0.0,0.0,10.2384,0.0,0.0,0.0,0.0,1015.1145,0.0,0.0,0.0,0.0,40.7724,0.0,209.58950000000002,114.4924,0.0,0.0,0.0,27.470100000000002,242.67929999999998,30.226500000000005,0.0,132.14770000000001,0.0,138.367,0.0,176.09099999999998,86.0933,76.8484,184.31519999999998,1542.0695,244.2972,0.0,18.3092
0.0,0.0,0.0,160.5182,0.0,2311.4172999999996,1189.4067,0.0,0.0,7.1478,0.0,164.3277,2922.1807999999996,6948.4324,88.6677,428.7799,0.0,2088.7248,6104.1970999999985,0.0,65.642,750.8143,2821.8077999999987,0.0,0.0,0.0,322.88620000000003,1485.9219999999996,0.0,0.0,0.0,16.0999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.9684,0.0,0.0,0.0,0.0,1454.4067,0.0,0.0,0.0,0.0,0.0,108.17360000000001,0.0,211.7294,0.0,0.0,0.0,0.0,0.0,10.2414,0.0,0.0,0.0,0.0,1011.6495,0.0,0.0,0.0,0.0,41.7129,0.0,208.3091,114.4169,0.0,0.0,0.0,27.529600000000002,243.61299999999994,30.115499999999997,0.0,132.99880000000002,0.0,138.57940000000002,0.0,175.26590000000002,83.7709,78.6818,179.21380000000002,1527.3062,243.88860000000003,0.0,18.5378
0.0,0.0,0.0,160.5182,0.0,2247.3950999999997,1236.3401000000003,0.0,0.0,8.2814,0.0,193.7492,2893.2451,6898.1931,91.03139999999999,430.4891,0.0,2156.7204,6153.173000000001,0.0,70.36959999999999,757.8506,2793.5063999999998,0.0,0.0,0.0,317.86159999999995,1525.6573000000003,0.0,0.0,0.0,17.6757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.311899999999994,0.0,0.0,0.0,0.0,1461.3286,0.0,0.0,0.0,0.0,0.0,108.3448,0.0,212.6262,0.0,0.0,0.0,0.0,0.0,10.2808,0.0,0.0,0.0,0.0,1006.9717,0.0,0.0,0.0,0.0,43.3789,0.0,210.93329999999997,114.5424,0.0,0.0,0.0,27.601300000000002,240.57489999999999,30.191399999999998,0.0,134.05769999999998,0.0,140.9593,0.0,179.4636,82.703,82.1376,195.4696,1570.7053,243.7814,0.0,18.7689
0.0,0.0,0.0,160.5182,0.0,2377.3937,1213.0311000000002,0.0,0.0,9.8745,0.0,198.07070000000002,2991.3861,6945.071800000001,71.2193,457.5155000000001,0.0,2449.0454,6481.9357,0.0,55.222899999999996,755.416,2783.3278000000005,0.0,0.0,0.0,329.5271,1495.5002000000002,0.0,0.0,0.0,16.8389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.5621,0.0,0.0,0.0,0.0,1468.6921000000002,0.0,0.0,0.0,0.0,0.0,108.5147,0.0,211.993,0.0,0.0,0.0,0.0,0.0,10.359000000000002,0.0,0.0,0.0,0.0,1001.3509,0.0,0.0,0.0,0.0,48.2519,0.0,215.6801,116.11500000000001,0.0,0.0,0.0,27.6961,245.73139999999998,29.982900000000004,0.0,135.541,0.0,139.88940000000002,0.0,189.20189999999997,87.6249,87.70850000000002,203.96900000000002,1643.6412000000003,245.0084,0.0,19.0009
0.0,0.0,0.0,160.5182,0.0,2412.8817999999997,1215.8879000000002,0.0,0.0,10.5652,0.0,193.11900000000003,2984.0678,6994.7503,85.0803,449.3178000000001,0.0,2399.5114000000003,6655.8824,0.0,62.995599999999996,738.1517000000001,2717.4910999999993,0.0,0.0,0.0,306.8428,1479.6263000000001,0.0,0.0,0.0,17.9764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.2847,0.0,0.0,0.0,0.0,1476.3397,0.0,0.0,0.0,0.0,0.0,108.4443,0.0,210.1556,0.0,0.0,0.0,0.0,0.0,10.4783,0.0,0.0,0.0,0.0,995.1166,0.0,0.0,0.0,0.0,47.5831,0.0,216.4825,139.5414,0.0,0.0,0.0,27.826,249.3111,29.9574,0.0,137.13490000000002,0.0,140.11569999999998,0.0,194.2212,93.54570000000001,88.1366,199.5896,1594.1256000000003,253.31279999999998,0.0,19.2326
0.0,0.0,0.0,160.5182,0.0,2441.7922,1223.7855,0.0,0.0,11.731,0.0,197.6962,3029.0459,7049.8288999999995,90.69030000000001,485.1445,0.0,2490.6552,6812.0833,0.0,69.68860000000001,869.8700000000001,3162.8396,0.0,0.0,0.0,386.64300000000003,1598.2205000000001,0.0,0.0,0.0,24.0226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.8288,0.0,0.0,0.0,0.0,1484.0962,0.0,0.0,0.0,0.0,0.0,108.3408,0.0,208.6963,0.0,0.0,0.0,0.0,0.0,10.6315,0.0,0.0,0.0,0.0,988.6385,0.0,0.0,0.0,0.0,51.3577,0.0,222.90460000000002,126.5719,0.0,0.0,0.0,28.0034,253.2849,30.2579,0.0,139.3399,0.0,140.7063,0.0,200.03510000000003,98.1013,92.4833,192.07399999999998,1611.3921,249.6475,0.0,19.4631
